"Stats Area","Postcode","Year","Area Speed","Entity Code","CSEF Severity","Drugs Involved"
"3 Country",5550,2019,110,"Driver Rider","2: MI","Y"
"3 Country",5344,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5070,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5092,2019,50,"Pedestrian","3: SI","Y"
"2 Metropolitan",5042,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5094,2019,50,"Driver Rider","1: PDO","Y"
"3 Country",5480,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5116,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5070,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5010,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5276,2019,110,"Driver Rider","2: MI","Y"
"3 Country",5413,2019,80,"Driver Rider","3: SI","Y"
"3 Country",5608,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5254,2019,110,"Driver Rider","3: SI","Y"
"3 Country",5290,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5113,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5022,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5267,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2019,60,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5157,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5022,2019,40,"Driver Rider","3: SI","Y"
"3 Country",5357,2019,80,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5117,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5108,2019,90,"Driver Rider","2: MI","Y"
"2 Metropolitan",5062,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5092,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5163,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5008,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5025,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5153,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5168,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5073,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5050,2019,60,"Driver Rider","2: MI","Y"
