"REPORT_ID","Sex","AGE_GROUP","Thrown Out","Injury Extent","Seat Belt","YEAR"
"2019-3-13/09/2024","Male","41","Unknown","Treated at Hospital","Not Worn","2019"
"2019-4-13/09/2024","Male","21","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-9-13/09/2024","Female","56","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-10-13/09/2024","Male","46","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-17-13/09/2024","Female","10","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-26-13/09/2024","Male","68","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-27-13/09/2024","Male","16","Thrown Out","By Private","Not Worn","2019"
"2019-61-13/09/2024","Male","32","Unknown","By Private","Not Worn","2019"
"2019-90-13/09/2024","Male","63","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-90-13/09/2024","Male","58","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-109-13/09/2024","Male","47","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-132-13/09/2024","Male","34","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-133-13/09/2024","Male","43","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-134-13/09/2024","Male","55","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-146-13/09/2024","Male","64","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-148-13/09/2024","Male","07","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-151-13/09/2024","Female","XXX","Not Thrown Out","Treated at Hospital","Child Restraint - Not Worn","2019"
"2019-158-13/09/2024","Male","24","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-168-13/09/2024","Female","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-181-13/09/2024","Male","71","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-188-13/09/2024","Female","58","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-189-13/09/2024","Male","25","Unknown","Treated at Hospital","Not Worn","2019"
"2019-199-13/09/2024","Male","29","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-214-13/09/2024","Male","16","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-216-13/09/2024","Female","55","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-220-13/09/2024","Male","50","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-238-13/09/2024","Male","56","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-239-13/09/2024","Male","57","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-243-13/09/2024","Male","70","Thrown Out","By Private","Not Worn","2019"
"2019-249-13/09/2024","Male","60","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-254-13/09/2024","Male","42","Unknown","Treated at Hospital","Not Worn","2019"
"2019-257-13/09/2024","Male","32","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-259-13/09/2024","Male","49","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-288-13/09/2024","Male","35","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-298-13/09/2024","Female","60","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-304-13/09/2024","Female","19","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-306-13/09/2024","Male","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-319-13/09/2024","Male","17","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-327-13/09/2024","Male","58","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-329-13/09/2024","Male","40","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-337-13/09/2024","Male","51","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-339-13/09/2024","Male","19","Thrown Out","Fatal","Not Worn","2019"
"2019-347-13/09/2024","Male","60","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-355-13/09/2024","Female","38","Unknown","Treated at Hospital","Not Worn","2019"
"2019-359-13/09/2024","Male","34","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-361-13/09/2024","Male","15","Unknown","By Private","Not Worn","2019"
"2019-388-13/09/2024","Male","42","Thrown Out","By Private","Not Worn","2019"
"2019-389-13/09/2024","Male","23","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-394-13/09/2024","Male","36","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-405-13/09/2024","Male","18","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-406-13/09/2024","Male","61","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-414-13/09/2024","Female","70","Unknown","By Private","Not Worn","2019"
"2019-417-13/09/2024","Male","72","Unknown","Fatal","Not Worn","2019"
"2019-424-13/09/2024","Female","XXX","Unknown","Treated at Hospital","Not Worn","2019"
"2019-429-13/09/2024","Male","44","Thrown Out","By Private","Not Worn","2019"
"2019-441-13/09/2024","Male","60","Thrown Out","Fatal","Not Worn","2019"
"2019-446-13/09/2024","Male","68","Thrown Out","By Private","Not Worn","2019"
"2019-469-13/09/2024","Male","54","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-475-13/09/2024","Female","61","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-492-13/09/2024","Female","34","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-502-13/09/2024","Male","36","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-503-13/09/2024","Male","41","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-511-13/09/2024","Female","20","Unknown","Treated at Hospital","Not Worn","2019"
"2019-514-13/09/2024","Male","59","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-514-13/09/2024","Male","55","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-520-13/09/2024","Male","44","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-520-13/09/2024","Female","42","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-520-13/09/2024","Male","36","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-521-13/09/2024","Male","33","Unknown","Treated at Hospital","Not Worn","2019"
"2019-522-13/09/2024","Male","54","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-527-13/09/2024","Male","18","Thrown Out","Fatal","Not Worn","2019"
"2019-528-13/09/2024","Male","31","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-529-13/09/2024","Male","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-557-13/09/2024","Male","16","Thrown Out","By Private","Not Worn","2019"
"2019-562-13/09/2024","Male","27","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-585-13/09/2024","Male","19","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-598-13/09/2024","Male","45","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-600-13/09/2024","Male","49","Thrown Out","Fatal","Not Worn","2019"
"2019-609-13/09/2024","Female","56","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-636-13/09/2024","Male","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-647-13/09/2024","Male","23","Unknown","By Private","Not Worn","2019"
"2019-677-13/09/2024","Female","69","Thrown Out","Admitted to Hospital","Not Worn","2019"
