"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES"
2018,"2018-01-01","2018-12-31","ACT","All regions","All ages","non_wearing_seatbelts","Police issued",197
2018,"2018-01-01","2018-12-31","NSW","All regions","All ages","non_wearing_seatbelts","Police issued",21538
2018,"2018-01-01","2018-12-31","NSW","All regions","All ages","non_wearing_seatbelts","Fixed or mobile camera",15
2018,"2018-01-01","2018-12-31","NT","All regions","All ages","non_wearing_seatbelts","Police issued",2558
2018,"2018-01-01","2018-12-31","QLD","All regions","All ages","non_wearing_seatbelts","Police issued",8789
2018,"2018-01-01","2018-12-31","SA","All regions","All ages","non_wearing_seatbelts","Police issued",4909
2018,"2018-01-01","2018-12-31","VIC","All regions","All ages","non_wearing_seatbelts","Police issued",13595
2018,"2018-01-01","2018-12-31","WA","All regions","All ages","non_wearing_seatbelts","Police issued",5953
2019,"2019-01-01","2019-12-31","ACT","All regions","All ages","non_wearing_seatbelts","Police issued",174
2019,"2019-01-01","2019-12-31","NSW","All regions","All ages","non_wearing_seatbelts","Police issued",19348
2019,"2019-01-01","2019-12-31","NSW","All regions","All ages","non_wearing_seatbelts","Fixed or mobile camera",7
2019,"2019-01-01","2019-12-31","NT","All regions","All ages","non_wearing_seatbelts","Police issued",3521
2019,"2019-01-01","2019-12-31","QLD","All regions","All ages","non_wearing_seatbelts","Police issued",9009
2019,"2019-01-01","2019-12-31","SA","All regions","All ages","non_wearing_seatbelts","Police issued",4386
2019,"2019-01-01","2019-12-31","VIC","All regions","All ages","non_wearing_seatbelts","Police issued",11835
2019,"2019-01-01","2019-12-31","WA","All regions","All ages","non_wearing_seatbelts","Police issued",4469
2020,"2020-01-01","2020-12-31","ACT","All regions","All ages","non_wearing_seatbelts","Police issued",143
2020,"2020-01-01","2020-12-31","NSW","All regions","All ages","non_wearing_seatbelts","Police issued",11715
